common_name,scientific_name,size_feet,firewise_rating,firewise_rating_code,firewise_rating_label,landscape_zone,slug
pinkshell azalea,Rhododendron vaseyi,8',Firewise (1),1,Firewise,LZ2,rhododendron-vaseyi
pinxterbloom azalea,Rhododendron periclymenoides,8',Firewise (1),1,Firewise,LZ2,rhododendron-periclymenoides
pitch pine,Pinus rigida,30',NOT Firewise (4),4,Not Firewise,LZ3,pinus-rigida
plum yew,Cephlotaxus harringtonia,10',NOT Firewise (4),4,Not Firewise,LZ2,cephlotaxus-harringtonia
plumleaf azalea,Rhododendron prunifolium,8',Firewise (1),1,Firewise,LZ2,rhododendron-prunifolium
podocarpus,Podocarpus macrophyllus,15',NOT Firewise (4),4,Not Firewise,LZ2,podocarpus-macrophyllus
poet's laurel,Danae racemosa,5',AT RISK Firewise (3),3,At Risk Firewise,LZ2,danae-racemosa
poison ivy,Toxidendron radicans,25',NOT Firewise (4),4,Not Firewise,LZ3,toxidendron-radicans
poison sumac,Toxidendron vermix,15',AT RISK Firewise (3),3,At Risk Firewise,LZ4,toxidendron-vermix
pomegranate,Punica granatum,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,punica-granatum
pond cypress,Taxodium ascendens,75',NOT Firewise (4),4,Not Firewise,LZ3,taxodium-ascendens
ponderosa pine,Pinus ponderosa,50',NOT Firewise (4),4,Not Firewise,LZ3,pinus-ponderosa
porcelainberry,Ampelopsis brevipedunculata,50',NOT Firewise (4),4,Not Firewise,LZ4,ampelopsis-brevipedunculata
Port Orford cedar,Chamaecyparis lawsoniana,50',NOT Firewise (4),4,Not Firewise,LZ3,chamaecyparis-lawsoniana
possum-haw holly,Ilex decidua,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,ilex-decidua
possumhaw viburnum,Viburnum nudum,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-nudum
post oak,Quercus stellata,40',Firewise (1),1,Firewise,LZ3,quercus-stellata
Prairie crabapple,Malus ioensis,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-ioensis
pumpkin ash,Fraxinus tomentosa,50',Firewise (1),1,Firewise,LZ3,fraxinus-tomentosa
purple beautyberry,Callicarpa dichotoma,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,callicarpa-dichotoma
purpleleaf plum,Prunus cerasifera 'Atropurpurea',15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,prunus-cerasifera-atropurpurea
pussy willow,Salix discolor,25',Firewise (1),1,Firewise,LZ3,salix-discolor
quaking aspen,Populus tremuloides,35',Firewise (1),1,Firewise,LZ3,populus-tremuloides
red alder,Alnus rubra,40',AT RISK Firewise (3),3,At Risk Firewise,LZ3,alnus-rubra
red buckeye,Aesculus pavia,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,aesculus-pavia
red bud crabapple,Malus x zumi var. calocarpa,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-x-zumi-var-calocarpa
red chokeberry,Aronia arbutifolia,12',Firewise (1),1,Firewise,LZ2,aronia-arbutifolia
red horsechestnut,Aesculus x carnea,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,aesculus-x-carnea
red maple,Acer rubrum,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-rubrum
red mulberry,Morus rubra,50',Firewise (1),1,Firewise,LZ3,morus-rubra
red pine,Pinus resinosa,40',NOT Firewise (4),4,Not Firewise,LZ3,pinus-resinosa
red spruce,Picea rubens,75',NOT Firewise (4),4,Not Firewise,LZ3,picea-rubens
red tip,Photinia x fraseri,12',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,photinia-x-fraseri
redbud,Cercis canadensis,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,cercis-canadensis
redosier dogwood,Cornus sericea,10',Firewise (1),1,Firewise,LZ2,cornus-sericea
redvein ekianthus,Enkianthus campanulatus,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,enkianthus-campanulatus
reed grass,Calamagrostis spp.,15',NOT Firewise (4),4,Not Firewise,LZ2,calamagrostis-spp
rhodora,Rhododendron canadense,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhododendron-canadense
river birch,Betula nigra,50',Firewise (1),1,Firewise,LZ3,betula-nigra
rock cotoneaster,Cotoneaster horizontalis,3',NOT Firewise (4),4,Not Firewise,LZ2,cotoneaster-horizontalis
rose of sharon,Hibiscus syriacus,10',Firewise (1),1,Firewise,LZ2,hibiscus-syriacus
rosebay rhododendron,Rhododendron maximum,15',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhododendron-maximum
rosemary,Rosmarius officinalis,3',NOT Firewise (4),4,Not Firewise,LZ2,rosmarius-officinalis
royal palm,Roystonea spp.,75',NOT Firewise (4),4,Not Firewise,LZ3,roystonea-spp
rugose rose,Rosa rugosa,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rosa-rugosa
Russian arborvitae,Microbiota decussata,3',NOT Firewise (4),4,Not Firewise,LZ2,microbiota-decussata
Russian olive,Elaeagnus angustifolia,40',AT RISK Firewise (3),3,At Risk Firewise,LZ3,elaeagnus-angustifolia
rusty blackhaw viburnum,Viburnum rufidulum,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-rufidulum
sandcherry,Prunus x cistena,10',AT RISK Firewise (3),3,At Risk Firewise,LZ3,prunus-x-cistena
sargent crabapple,Malus sargentii,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-sargentii
sasanqua camellia,Camellis sasanqua,20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,camellis-sasanqua
sassfras,Sassafras albidum,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,sassafras-albidum
saucer magnolia,Magnolia x soulangiana,25',Firewise (1),1,Firewise,LZ3,magnolia-x-soulangiana
saw palmetto,Serenoa repens,6',NOT Firewise (4),4,Not Firewise,LZ2,serenoa-repens
sawtooth oak,Quercus acutissima,50',Firewise (1),1,Firewise,LZ3,quercus-acutissima
scarlet oak,Quercus coccinea,100.0',Firewise (1),1,Firewise,LZ3,quercus-coccinea
Scot's broom,Cytisus scoparius,5',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,cytisus-scoparius
scot's pine,Pinus sylvestris,50',NOT Firewise (4),4,Not Firewise,LZ3,pinus-sylvestris
scrub or bear oak,Quercus illicifolia,25',AT RISK Firewise (3),3,At Risk Firewise,LZ3,quercus-illicifolia
Senegal date palm,Phoenix reclinata,35',NOT Firewise (4),4,Not Firewise,LZ3,phoenix-reclinata
seven son's flower,Heptacodium miconioides,15',Firewise (1),1,Firewise,LZ3,heptacodium-miconioides
shagbark hickory,Carya ovata,50',Firewise (1),1,Firewise,LZ3,carya-ovata
shantung maple,Acer truncatum,25',Firewise (1),1,Firewise,LZ3,acer-truncatum
sheep laurel,Kalmia angustifolia,4',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,kalmia-angustifolia
shellbark hickory,Carya laciniosa,50',Firewise (1),1,Firewise,LZ3,carya-laciniosa
shingle oak,Quercus imbricaria,50',Firewise (1),1,Firewise,LZ3,quercus-imbricaria
shining sumac,Rhus copallina,25',AT RISK Firewise (3),3,At Risk Firewise,LZ2,rhus-copallina
shortleaf pine,Pinus echinata,50',NOT Firewise (4),4,Not Firewise,LZ4,pinus-echinata
shrubby st. johnswort,Hypericum prolificum,4',AT RISK Firewise (3),3,At Risk Firewise,LZ2,hypericum-prolificum
shumard oak,Quercus shumardii,50',Firewise (1),1,Firewise,LZ3,quercus-shumardii
Siberian crabapple,Malus baccata,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-baccata
Siberian elm,Ulmus pumila,50',Firewise (1),1,Firewise,LZ3,ulmus-pumila
Siberian peashrub,Caragana arborescens,10',AT RISK Firewise (3),3,At Risk Firewise,LZ3,caragana-arborescens
siebold viburnum,Viburnum sieboldii,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-sieboldii
silky dogwood,Cornus amomum,8',Firewise (1),1,Firewise,LZ2,cornus-amomum
silver fleece vine,Polygonum aubertii,50',NOT Firewise (4),4,Not Firewise,LZ4,polygonum-aubertii
silver linden,Tilia tomentosa,45',Firewise (1),1,Firewise,LZ3,tilia-tomentosa
silver maple,Acer saccharinum,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-saccharinum
singleleaf ash,Fraxinus ornus 'Rotundifolia',25',Firewise (1),1,Firewise,LZ3,fraxinus-ornus-rotundifolia
skimmia,Skimmia japonica,3',NOT Firewise (4),4,Not Firewise,LZ2,skimmia-japonica
slash pine,Pinus elliottii,50',NOT Firewise (4),4,Not Firewise,LZ4,pinus-elliottii
slender deutzia,Deutzia gracilis,4',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,deutzia-gracilis
slippery elm,Ulmus rubra,40',Firewise (1),1,Firewise,LZ3,ulmus-rubra
small-leaf arrowwood viburnum,Viburnum obovatum,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-obovatum
smokebush,Cotinus coggygria,20',Firewise (1),1,Firewise,LZ3,cotinus-coggygria
smooth alder,Alnus serrulata,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,alnus-serrulata
smooth hydrangea,Hydrangea arborescens,6',Firewise (1),1,Firewise,LZ3,hydrangea-arborescens
smooth sumac,Rhus glabra,15',Firewise (1),1,Firewise,LZ3,rhus-glabra
smoothleaf elm,Ulmus carpinifolia,40',Firewise (1),1,Firewise,LZ3,ulmus-carpinifolia
snowberry,Symphoricarpus albus,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,symphoricarpus-albus
sourwood,Oxydendrum arboreum,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,oxydendrum-arboreum
Southern arrowood viburnum,Viburnum dentatum,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-dentatum
southern bush-honeysuckle,Diervilla sessifolia,5',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,diervilla-sessifolia
southern catalpa,Catalpa bignonioides,50',Firewise (1),1,Firewise,LZ3,catalpa-bignonioides
southern magnolia,Magnolia grandiflora,75',NOT Firewise (4),4,Not Firewise,LZ3,magnolia-grandiflora
southern red oak,Quercus falcata,100.0',Firewise (1),1,Firewise,LZ3,quercus-falcata
sparkleberry,Vaccinium arboreum,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,vaccinium-arboreum
speckled alder,Alnus incana,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,alnus-incana
spicebush,Lindera benzoin,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,lindera-benzoin
spindletree,Euonymus americanus,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,euonymus-americanus
spineless yucca,Yucca elephantipes,2',AT RISK Firewise (3),3,At Risk Firewise,LZ2,yucca-elephantipes
staghorn sumac,Rhus typhina,15',Firewise (1),1,Firewise,LZ3,rhus-typhina
star magnolia,Magnolia stellata,10',Firewise (1),1,Firewise,LZ2,magnolia-stellata
stephandra,Stephandra incisa,4',AT RISK Firewise (3),3,At Risk Firewise,LZ2,stephandra-incisa
stewartia,Stewartia ovata,15',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,stewartia-ovata
stone pine,Pinus cembra,30',NOT Firewise (4),4,Not Firewise,LZ3,pinus-cembra
striped maple,Acer pensylvanicum,25',Firewise (1),1,Firewise,LZ3,acer-pensylvanicum
sugar hackberry,Celtis laevigata,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,celtis-laevigata
sugar maple or rock maple,Acer saccharum,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-saccharum
summersweet,Clethra alnifolia,4',Firewise (1),1,Firewise,LZ2,clethra-alnifolia
swamp azalea,Rhododendron viscosum,8',Firewise (1),1,Firewise,LZ2,rhododendron-viscosum
swamp chestnut oak,Quercus michauxii,50',Firewise (1),1,Firewise,LZ3,quercus-michauxii
swamp white oak,Quercus bicolor,50',Firewise (1),1,Firewise,LZ3,quercus-bicolor
sweet azalea,Rhododendron arborescens,8',Firewise (1),1,Firewise,LZ2,rhododendron-arborescens
sweet viburnum,Viburnum odoratissimum,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,viburnum-odoratissimum
sweetbay magnolia,Magnolia virginiana,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,magnolia-virginiana
sweetgum,Liquidambar styraciflua,50',Firewise (1),1,Firewise,LZ3,liquidambar-styraciflua
sycamore,Platanus occidentalis,75',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,platanus-occidentalis
sycamore maple,Acer pseudoplatanus,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,acer-pseudoplatanus
tamarack,Larix laricina,50',AT RISK Firewise (3),3,At Risk Firewise,LZ3,larix-laricina
tamarix,Tamarix ramosissima,8',AT RISK Firewise (3),3,At Risk Firewise,LZ3,tamarix-ramosissima
tatarian honeysuckle,Lonicera tatarica,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,lonicera-tatarica
tatarian maple,Acer tataricum,20',Firewise (1),1,Firewise,LZ3,acer-tataricum
tea-oil camellia,Camellia oleifera,20',AT RISK Firewise (3),3,At Risk Firewise,LZ3,camellia-oleifera
Texas persimmon,Diospyros texana,25',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,diospyros-texana
tree of heaven,Ailanthus altissima,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ4,ailanthus-altissima
trident maple,Acer buergeranum,50',Firewise (1),1,Firewise,LZ3,acer-buergeranum
trumpet vine,Campsis radicans,40',NOT Firewise (4),4,Not Firewise,LZ2,campsis-radicans
Tulip tree,Magnolia x loebneri,20',Firewise (1),1,Firewise,LZ3,magnolia-x-loebneri
tulip-poplar or yellow poplar,Liriodendron tulipifera,100.0',Firewise (1),1,Firewise,LZ3,liriodendron-tulipifera
two-winged silverbell,Halesia diptera,20',Firewise (1),1,Firewise,LZ3,halesia-diptera
umbrella magnolia,Magnolia tripetala,30',AT RISK Firewise (3),3,At Risk Firewise,LZ3,magnolia-tripetala
umbrella-pine,Sciadopitys verticillata,50',NOT Firewise (4),4,Not Firewise,LZ3,sciadopitys-verticillata
Ural false spiraea,Sorbaria sorbifolia,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,sorbaria-sorbifolia
van houtte bridalwreath spirea,Spirea xvanhouttei,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,spirea-xvanhouttei
vernal witchhazel,Hamamelis vernalis,12',Firewise (1),1,Firewise,LZ3,hamamelis-vernalis
virgin's bower clematis,Clematis virginiana,40',NOT Firewise (4),4,Not Firewise,LZ4,clematis-virginiana
Virginia creeper,Parthenocissus quinquifolia,30',NOT Firewise (4),4,Not Firewise,LZ2,parthenocissus-quinquifolia
Virginia pine,Pinus virginiana,50',NOT Firewise (4),4,Not Firewise,LZ3,pinus-virginiana
Virginia rose,Rosa virginiana,12',NOT Firewise (4),4,Not Firewise,LZ2,rosa-virginiana
Virginia sweetspire,Itea virginica,6',AT RISK Firewise (3),3,At Risk Firewise,LZ2,itea-virginica
wafer ash,Ptelea trifoliata,25',Firewise (1),1,Firewise,LZ3,ptelea-trifoliata
Washington hawthorn,Crataegus phaenopyrum,25',Firewise (1),1,Firewise,LZ2,crataegus-phaenopyrum
Washington palm,Washingtonia robusta,70',NOT Firewise (4),4,Not Firewise,LZ3,washingtonia-robusta
water oak,Quercus nigra,40',Firewise (1),1,Firewise,LZ3,quercus-nigra
water tupelo,Nyssa aquatica,50',Firewise (1),1,Firewise,LZ3,nyssa-aquatica
wax myrtle,Myrica cerifera,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,myrica-cerifera
weeping forsythia,Forsythia suspensa,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,forsythia-suspensa
weeping Higan cherry,Prunus subhirtella 'Pendula',10',AT RISK Firewise (3),3,At Risk Firewise,LZ3,prunus-subhirtella-pendula
weeping willow,Salix babylonica,75',Firewise (1),1,Firewise,LZ3,salix-babylonica
weigela,Weigela florida,4',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,weigela-florida
western arborvitae,Thuja plicata,100.0',NOT Firewise (4),4,Not Firewise,LZ3,thuja-plicata
western red cedar,Juniperus scopulorum,50',NOT Firewise (4),4,Not Firewise,LZ3,juniperus-scopulorum
white ash,Fraxinus americana,100.0',Firewise (1),1,Firewise,LZ3,fraxinus-americana
white fir,Abies concolor,80',AT RISK Firewise (3),3,At Risk Firewise,LZ4,abies-concolor
white mulberry,Morus alba,30',Firewise (1),1,Firewise,LZ3,morus-alba
white oak,Quercus alba,100.0',Firewise (1),1,Firewise,LZ3,quercus-alba
white pine,Pinus strobus,75',NOT Firewise (4),4,Not Firewise,LZ3,pinus-strobus
white poplar,Populus alba,30',Firewise (1),1,Firewise,LZ3,populus-alba
white spruce,Picea glauca,40',NOT Firewise (4),4,Not Firewise,LZ3,picea-glauca
white willow,Salix alba,100.0',Firewise (1),1,Firewise,LZ3,salix-alba
whitebarked Himalayan birch,Betula jacquemontii,35',Firewise (1),1,Firewise,LZ3,betula-jacquemontii
Whitespire birch,Betula platyphylla 'Whitespire',35',Firewise (1),1,Firewise,LZ3,betula-platyphylla-whitespire
wild black cherry,Prunus serotina,50',Firewise (1),1,Firewise,LZ3,prunus-serotina
willow oak,Quercus phellos,50',Firewise (1),1,Firewise,LZ3,quercus-phellos
willowleaf cotoneaster,Cotoneaster salicifolia,3',NOT Firewise (4),4,Not Firewise,LZ3,cotoneaster-salicifolia
winged elm,Ulmus alata,50',Firewise (1),1,Firewise,LZ3,ulmus-alata
winter honeysuckle,Lonicera fragrantissima,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,lonicera-fragrantissima
Winter King green hawthorn,Crataegus viridis 'Winter King',25',Firewise (1),1,Firewise,LZ2,crataegus-viridis-winter-king
winterberry holly,Ilex verticillata,8',Firewise (1),1,Firewise,LZ2,ilex-verticillata
wintercreeper euonymus,Euonymus fortunei,<2',AT RISK Firewise (3),3,At Risk Firewise,LZ3,euonymus-fortunei
wintergreen,Gaultheria procumbens,1',AT RISK Firewise (3),3,At Risk Firewise,LZ1,gaultheria-procumbens
wintergreen barberry,Berberis julianae,6',Firewise (1),1,Firewise,LZ2,berberis-julianae
wisteria,Wisteria floribunda,50',NOT Firewise (4),4,Not Firewise,LZ4,wisteria-floribunda
yaupon holly,Ilex vomitoria,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,ilex-vomitoria
yeddo hawthorne,Raphiolepis umbellata,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,raphiolepis-umbellata
yellow birch,Betula alleghaniensis,50',Firewise (1),1,Firewise,LZ3,betula-alleghaniensis
yellow buckeye,Aesculus flava,50',MODERATELY Firewise (2),2,Moderately Firewise,LZ4,aesculus-flava
yellowroot,Xanthorhiza simplicissima,1',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,xanthorhiza-simplicissima
yellowtwig dogwood,Cornus sericea 'Flaviramea',10',Firewise (1),1,Firewise,LZ2,cornus-sericea-flaviramea
yellowwood,Cladrastis kentukea,40',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,cladrastis-kentukea
Yoshino cherry,Prunus x yedoensis,15',Firewise (1),1,Firewise,LZ3,prunus-x-yedoensis
yucca,Yucca filamentosa,2',AT RISK Firewise (3),3,At Risk Firewise,LZ2,yucca-filamentosa
zenobia,Zenobia pulverulata,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,zenobia-pulverulata
