scientific_name,common_name,notes,categories
Juglans californica,CALIFORNIA BLACK WALNUT,,Smaller trees and large shrubs with mature heights of less than
Juglans hindsii,HINDS’ BLACK WALNUT,,Smaller trees and large shrubs with mature heights of less than
Juncus acutus,SPINY RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus balticus,BALTIC RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus effusus,SOFT RUSH,,"Small Trees / Large Shrubs, Evergreen"
Juncus patens,COMMON RUSH,,"Small Trees / Large Shrubs, Evergreen"
Justicia californica,CHUPAROSA,,"Small Trees / Large Shrubs, Evergreen"
Kallstroemia californica,CALIFORNIA CALTROP,,"Small Trees / Large Shrubs, Evergreen"
Kalmiopsis leachiana,KALMIOPSIS,,"Small Trees / Large Shrubs, Evergreen"
"Keckiella antirrhinoides, K. cordifolia",KECKIELLA,,"Small Trees / Large Shrubs, Evergreen"
Larrea tridentata,CREOSOTE BUSH,,"Small Trees / Large Shrubs, Evergreen"
Lathyrus vestitus,PACIFIC PEA,,"Small Trees / Large Shrubs, Evergreen"
Layia platyglossa,COMMON TIDYTIPS,,"Small Trees / Large Shrubs, Evergreen"
Lepechinia calycina,WHITE PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
"Lepechinia calycina, L. fragrans",PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
Lepechinia fragrans,FRAGRANT PITCHER SAGE,,"Small Trees / Large Shrubs, Evergreen"
"Leptosyne calliopsidea, syn. Coreopsis calliopsidea",LEAFSTEM TICKSEED,,"Small Trees / Large Shrubs, Evergreen"
Leucothoe davisiae,SIERRA LAUREL,,"Small Trees / Large Shrubs, Evergreen"
"Lewisia species Micromeria douglasii, syn. Clinopodium douglasii",YERBA BUENA,,"Small Trees / Large Shrubs, Evergreen"
Linanthus grandiflorus,LARGEFLOWER PHLOX,,"Small Trees / Large Shrubs, Evergreen"
Linum lewisii,BLUE FLAX,,"Small Trees / Large Shrubs, Evergreen"
Lomatium utriculatum,COMMON LOMATIUM,,"Small Trees / Large Shrubs, Evergreen"
Lonicera conjugialis,DOUBLE HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
"Lonicera interrupta, L. subspicata",CHAPARRAL HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
Lonicera involucrata,TWINBERRY,,"Small Trees / Large Shrubs, Evergreen"
Lonicera subspicata,SOUTHERN HONEYSUCKLE,,"Small Trees / Large Shrubs, Evergreen"
Lonicera utahensis,RED TWINBERRY,,"Small Trees / Large Shrubs, Evergreen"
Lupinus albifrons,SILVER BUSH LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus arboreus,YELLOW BUSH LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus microcarpus,"CHICK LUPINE, DENSE- FLOWERED PLATYCARPOS",and others Nemophila maculata (FIVESPOT),"Small Trees / Large Shrubs, Evergreen"
Lupinus nanus,SKY LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus polyphyllus,BIGLEAF LUPINE,,"Small Trees / Large Shrubs, Evergreen"
Lupinus succulentus,SUCCULENT LUPINE,and others,"Small Trees / Large Shrubs, Evergreen"
Lycium brevipes,BAJA DESERT THORN,,"Small Trees / Large Shrubs, Evergreen"
Lycium californicum,CALIFORNIA BOXTHORN,,"Small Trees / Large Shrubs, Evergreen"
Lyonothanmus floribundus,CATALINA IRONWOOD,,Medium Evergreen to Semi-Evergreen Trees
Maianthemum racemosa,FALSE SOLOMON’S SEAL,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus densiflorus,YELLOW STEM BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus fasciculatus,CHAPARRAL BUSHMALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus fremontii,FREMONT’S BUSHMALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus jonesii,JONES’S BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
Malocothamnus palmeri,SANTA LUCIA BUSH MALLOW,,"Small Trees / Large Shrubs, Evergreen"
"Malosma laurina, syn. Rhus laurina",LAUREL SUMAC,,"Small Trees / Large Shrubs, Evergreen"
Malus fusca,WESTERN/OREGON CRABAPPLE,,Medium Deciduous Trees
Melica californica,CALIFORNIA MELICGRASS,,"Small Trees / Large Shrubs, Evergreen"
Melica subulata,ALASKA ONION GRASS,,"Small Trees / Large Shrubs, Evergreen"
Mentzelia laevicaulis,BLAZING STAR,,"Small Trees / Large Shrubs, Evergreen"
"Mirabilis laevis, syn. Mirabilis californica",CALIFORNIA FOUR O’CLOCK,,"Small Trees / Large Shrubs, Evergreen"
"Monardella australis, syn. Monardella odoratissima",DESERT MINT,,"Small Trees / Large Shrubs, Evergreen"
Monardella macrantha,RED MONARDELLA,,"Small Trees / Large Shrubs, Evergreen"
Monardella purpurea,SISKIYOU MONARDELLA,,"Small Trees / Large Shrubs, Evergreen"
Monardella villosa,COYOTE MINT,,"Small Trees / Large Shrubs, Evergreen"
"Morella californica, syn. Myrica californica",CALIFORNIA WAX MYRTLE,,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
Muhlenbergia emersleyi,BULL GRASS,,"Small Trees / Large Shrubs, Evergreen"
Muhlenbergia lindheimeri,LINDHEIMER’S MUHLY GRASS,,"Small Trees / Large Shrubs, Evergreen"
Muhlenbergia rigens,DEER GRASS,,"Small Trees / Large Shrubs, Evergreen"
Myosotis asiatica,ALPINE FORGET-ME-NOT,,"Small Trees / Large Shrubs, Evergreen"
Nemophila maculata,FIVESPOT,,"Small Trees / Large Shrubs, Evergreen"
Nemophila menziesii,BABY BLUE EYES,,"Small Trees / Large Shrubs, Evergreen"
Nolina bigelovii,BIGELOW’S BEARGRASS,,"Small Trees / Large Shrubs, Evergreen"
Notholithocarpus densiflorus,TANBARK OAK,,Smaller trees and large shrubs with mature heights of less than
Oemleria cerasiformis,"OSO BERRY, INDIAN PLUM",,"Small Trees / Large Shrubs, Evergreen"
Oenothera elata,HOOKER’S EVENING PRIMROSE,,"Small Trees / Large Shrubs, Evergreen"
Oxalis californica,CALIFORNIA WOOD SORREL,,"Small Trees / Large Shrubs, Evergreen"
Oxalis oregana,REDWOOD SORREL,,"Small Trees / Large Shrubs, Evergreen"
PLANT INSTEAD,,,"Small Trees / Large Shrubs, Evergreen"
Paeonia brownii,WESTERN PEONY,,"Small Trees / Large Shrubs, Evergreen"
Paeonia californica,CALIFORNIA PEONY,,"Small Trees / Large Shrubs, Evergreen"
"Parkinsonia florida, syn. Cercidium floridum",BLUE PALO VERDE,,Medium Deciduous Trees
"Parkinsonia microphylla, syn. Cercidium microphyllum",LITTLE-LEAF PALO VERDE,,Medium Deciduous Trees
Paxistima myrsinites,OREGON BOXWOOD,,"Small Trees / Large Shrubs, Evergreen"
Penstemon centranthifolius,SCARLET BUGLER,,"Small Trees / Large Shrubs, Evergreen"
Penstemon davidsonii,DAVIDSON’S PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon heterophyllus,FOOTHILL PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon newberryi,MOUNTAIN PRIDE,,"Small Trees / Large Shrubs, Evergreen"
Penstemon pseudospectabilis,DESERT BEARD PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon richardsonii,RICHARDSON’S PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon rupicola,ROCK PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon rydbergii,RYDBERG’S PENSTEMON,,"Small Trees / Large Shrubs, Evergreen"
Penstemon spectabilis,ROYAL BEARDSTONGUE,,"Small Trees / Large Shrubs, Evergreen"
"Peritoma arborea, syn. Isomeris arborea",BLADDERPOD,,"Small Trees / Large Shrubs, Evergreen"
Phacelia californica,ROCK PHACELIA,,"Small Trees / Large Shrubs, Evergreen"
Phacelia campanularia,CALIFORNIA BLUEBELL,,"Small Trees / Large Shrubs, Evergreen"
Philadelphus lewisii,MOCK ORANGE,,"Small Trees / Large Shrubs, Evergreen"
Physocarpus capitatus,PACIFIC NINEBARK,,"Small Trees / Large Shrubs, Evergreen"
Pickeringia montana,CHAPARRAL PEA,,"Small Trees / Large Shrubs, Evergreen"
Platanus racemosa,CALIFORNIA SYCAMORE,,Smaller trees and large shrubs with mature heights of less than
Pluchea sericea,"ARROW WEED, ARROWLEAF",,"Small Trees / Large Shrubs, Evergreen"
Populus angustifolia,NARROWLEAF POPLAR,,Smaller trees and large shrubs with mature heights of less than
Populus fremontii,FREMONT/WESTERN COTTONWOOD,,Smaller trees and large shrubs with mature heights of less than
Populus tremuloides,QUAKING ASPEN,,Smaller trees and large shrubs with mature heights of less than
Populus trichocarpa,BLACK COTTONWOOD,,Smaller trees and large shrubs with mature heights of less than
Prosopis glandulosa var. torreyana,HONEY MESQUITE,,Medium Deciduous Trees
Prosopis pubescens,"SCREWBEAN, TORNILLO",,Medium Deciduous Trees
Prunella vulgaris subsp. lanceolata,SELFHEAL,,"Small Trees / Large Shrubs, Evergreen"
Prunus emarginata,BITTER CHERRY,,Medium Deciduous Trees
Prunus ilicifolia,HOLLYLEAF CHERRY,,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
"Psorothamnus spinosus, syn. Dalea spinosa",SMOKE TREE,,Medium Deciduous Trees
Ptelea crenulata,WESTERN HOP TREE,,"Small Trees / Large Shrubs, Evergreen"
Pycnanthemum californicum,MOUNTAIN MINT,,"Small Trees / Large Shrubs, Evergreen"
Quercus agrifolia,COAST LIVE OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus chrysolepis,"CANYON LIVE OAK, GOLDEN-CUP OAK",,Medium Evergreen to Semi-Evergreen Trees; Smaller trees and large shrubs with mature heights of less than
Quercus douglasii,BLUE OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus durata,LEATHER OAK,,"Small Trees / Large Shrubs, Evergreen"
Quercus engelmannii,ENGELMANN OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus garryana,OREGON WHITE OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus kelloggii,BLACK OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus lobata,VALLEY OAK,,Smaller trees and large shrubs with mature heights of less than
Quercus wislizeni,INTERIOR LIVE OAK,,Smaller trees and large shrubs with mature heights of less than
Rhamnus crocea,HOLLYLEAF REDBERRY,,"Small Trees / Large Shrubs, Evergreen"
Rhamnus ilicifolia,HOLLYLEAF REDBERRY,,"Small Trees / Large Shrubs, Evergreen"
"Rhododendron macrophyllum, syn. Rhododendron californicum",COAST RHODODENDRON,,"Small Trees / Large Shrubs, Evergreen"
Rhododendron occidentale,WESTERN AZALEA,,"Small Trees / Large Shrubs, Evergreen"
Rhus aromatica,FRAGRANT SUMAC,,"Small Trees / Large Shrubs, Evergreen"
Rhus integrifolia,LEMONADE BERRY,,"Small Trees / Large Shrubs, Evergreen"
Rhus ovata,SUGAR BUSH,,"Small Trees / Large Shrubs, Evergreen"
Rhus trilobata,SKUNKBUSH,,"Small Trees / Large Shrubs, Evergreen"
Ribes aureum,GOLDEN CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes cereum,WAX CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes indecorum,WHITE- FLOWERING CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes malvaceum,CHAPARRAL CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes sanguineum,RED- FLOWERING CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes speciosum,FUCHSIA- FLOWERING CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Ribes viburnifolium,CATALINA CURRANT,,"Small Trees / Large Shrubs, Evergreen"
Robinia neomexicana,DESERT LOCUST,,"Small Trees / Large Shrubs, Evergreen"
Romneya coulteri,MATILIJA POPPY,,"Small Trees / Large Shrubs, Evergreen"
Rosa nutkana,NOOTKA ROSE,,"Small Trees / Large Shrubs, Evergreen"
"Rubus laciniatus, R. leucodermis, R. ursinus",NATIVE BLACKBERRIES AND RASPBERRIES,,"Small Trees / Large Shrubs, Evergreen"
Rubus parviflorus,THIMBLEBERRY,,"Small Trees / Large Shrubs, Evergreen"
Rudbeckia californica,CALIFORNIA CONE FLOWER,,"Small Trees / Large Shrubs, Evergreen"
Ruellia californica,WILD PETUNIA,,"Small Trees / Large Shrubs, Evergreen"
Salicornia pacifica,PICKLEWEED,,"Small Trees / Large Shrubs, Evergreen"
Salix,WILLOW,"species native to your area, like S. exigua (SANDBAR WILLOW)","Small Trees / Large Shrubs, Evergreen"
Salix species native to your area,,,Medium Deciduous Trees
Salvia apiana,WHITE SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia brandegeei,"BRANDEGEE SAGE, SANTA ROSA ISLAND SAGE",,"Small Trees / Large Shrubs, Evergreen"
Salvia clevelandii,CLEVELAND SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia dorrii,DESERT SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia leucophylla,PURPLE SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia mellifera,BLACK SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia sonomensis,SONOMA SAGE,,"Small Trees / Large Shrubs, Evergreen"
Salvia spathacea,HUMMINGBIRD SAGE,,"Small Trees / Large Shrubs, Evergreen"
Sambucus nigra subsp. cerulea,BLUE ELDERBERRY,,"Small Trees / Large Shrubs, Evergreen"
Sambucus racemosa,RED ELDERBERRY,,"Small Trees / Large Shrubs, Evergreen"
Sanicula bipinnatifida,SNAKEROOT,,"Small Trees / Large Shrubs, Evergreen"
Schoenoplectus californicus,CALIFORNIA BULRUSH,,"Small Trees / Large Shrubs, Evergreen"
Scutellaria mexicana,MEXICAN BLADDERSAGE,,"Small Trees / Large Shrubs, Evergreen"
Sedum divergens,CASCADE STONECROP,,"Small Trees / Large Shrubs, Evergreen"
Sedum laxum,ROSEFLOWER STONECROP,,"Small Trees / Large Shrubs, Evergreen"
Sedum niveum,DAVIDSON’S STONECROP,,"Small Trees / Large Shrubs, Evergreen"
Sedum spathulifolium,YELLOW STONECROP,and others,"Small Trees / Large Shrubs, Evergreen"
Shepherdia argentea,SILVER BUFFALO BERRY,,"Small Trees / Large Shrubs, Evergreen"
Sidalcea,CHECKERMALLOW,species Symphiotrichum (ASTER) species,"Small Trees / Large Shrubs, Evergreen"
Sidalcea campestris,MEADOW CHECKERMALLOW,,"Small Trees / Large Shrubs, Evergreen"
Sidalcea malviflora,CHECKERBLOOM,,"Small Trees / Large Shrubs, Evergreen"
Sidalcea oregana,OREGON CHECKERMALLOW,and others,"Small Trees / Large Shrubs, Evergreen"
Silene californica,CALIFORNIA INDIAN PINK,,"Small Trees / Large Shrubs, Evergreen"
Silene laciniata,CARDINAL CATCHFLY,,"Small Trees / Large Shrubs, Evergreen"
Simmondsia chinensis,JOJOBA,,"Small Trees / Large Shrubs, Evergreen"
Sisyrinchium bellum,WESTERN BLUE-EYED GRASS,,"Small Trees / Large Shrubs, Evergreen"
Solanum xanti,PURPLE NIGHTSHADE,,"Small Trees / Large Shrubs, Evergreen"
Solidago lepida,WESTERN GOLDENROD,,"Small Trees / Large Shrubs, Evergreen"
Solidago spathulata,COAST GOLDENROD,,"Small Trees / Large Shrubs, Evergreen"
Solidago velutina subsp. californica,CALIFORNIA GOLDENROD,,"Small Trees / Large Shrubs, Evergreen"
Sorbus californica,CALIFORNIA MOUNTAIN ASH,,"Small Trees / Large Shrubs, Evergreen"
Sorbus scopulina,WESTERN MOUNTAIN ASH,,"Small Trees / Large Shrubs, Evergreen"
Sorbus sitchensis,SITKA/WESTERN MOUNTAIN ASH,,"Small Trees / Large Shrubs, Evergreen"
Sphaeralcea ambigua,DESERT MALLOW,,"Small Trees / Large Shrubs, Evergreen"
Spirea densiflora,MOUNTAIN SPIREA,,"Small Trees / Large Shrubs, Evergreen"
Spirea douglasii,WESTERN SPIREA,,"Small Trees / Large Shrubs, Evergreen"
Sporobolus airoides,ALKALI SACATON,,"Small Trees / Large Shrubs, Evergreen"
Sporobolus aroides,ALKALAI SACATON,,"Small Trees / Large Shrubs, Evergreen"
Stipa cernua,NODDING NEEDLEGRASS,,"Small Trees / Large Shrubs, Evergreen"
Stipa lepida,FOOTHILL NEEDLEGRASS,,"Small Trees / Large Shrubs, Evergreen"
Stipa pulchra,PURPLE NEEDLEGRASS,and others,"Small Trees / Large Shrubs, Evergreen"
Styrax redivivus,CALIFORNIA SNOWDROP,,"Small Trees / Large Shrubs, Evergreen"
Symphiotrichum,ASTER,species Venegasia carpesioides (CANYON SUNFLOWER),"Small Trees / Large Shrubs, Evergreen"
Symphiotrichum chilense,PACIFIC/CALIFORNIA ASTER,,"Small Trees / Large Shrubs, Evergreen"
Symphoricarpos albus,COMMON SNOWBERRY,,"Small Trees / Large Shrubs, Evergreen"
Symphoricarpos mollis,CREEPING SNOWBERRY,,"Small Trees / Large Shrubs, Evergreen"
Symphyotrichum foliaceum,LEAFY ASTER,,"Small Trees / Large Shrubs, Evergreen"
Symphyotrichum hallii,HALL’S ASTER,,"Small Trees / Large Shrubs, Evergreen"
Symphyotrichum subspicatum,DOUGLAS’ ASTER,,"Small Trees / Large Shrubs, Evergreen"
Tellima grandiflora,FRINGE CUPS,,"Small Trees / Large Shrubs, Evergreen"
Thalictrum fenderli,MEADOW RUE,,"Small Trees / Large Shrubs, Evergreen"
Thamnosma montana,TURPENTINE BROOM,,"Small Trees / Large Shrubs, Evergreen"
"Thymophylla pentachaeta, syn. Dyssodia pentachaeta",GOLDEN DYSSODIA,,"Small Trees / Large Shrubs, Evergreen"
Tiarella trifoliata var. unifoliata,FOAMFLOWER,,"Small Trees / Large Shrubs, Evergreen"
Tolmiea menziesii,PIGGYBACK PLANT,,"Small Trees / Large Shrubs, Evergreen"
Trichostema lanatum,WOOLLY BLUE CURLS,,"Small Trees / Large Shrubs, Evergreen"
Trifolium albopurpureum,RANCHERIA CLOVER,,"Small Trees / Large Shrubs, Evergreen"
Trifolium ciliolatum,FOOTHILL CLOVER,,"Small Trees / Large Shrubs, Evergreen"
Trifolium fucatum,SOUR CLOVER,and others,"Small Trees / Large Shrubs, Evergreen"
Trifolium wildenovii,TOMCAT CLOVER,and others,"Small Trees / Large Shrubs, Evergreen"
Trifolium wormskioldii,COW’S CLOVER,,"Small Trees / Large Shrubs, Evergreen"
Trillium ovatum,"WESTERN TRILLIUM, WESTERN WAKEROBIN",,"Small Trees / Large Shrubs, Evergreen"
Umbellularia californica,"CALIFORNIA BAY, OREGON MYRTLE",,Medium Evergreen to Semi-Evergreen Trees; Smaller trees and large shrubs with mature heights of less than
Vaccinium parvifolium,RED HUCKLEBERRY,,"Small Trees / Large Shrubs, Evergreen"
Vancouveria chrysantha,GOLDEN INSIDE-OUT FLOWER,,"Small Trees / Large Shrubs, Evergreen"
Vancouveria planipetala,SMALL INSIDE-OUT FLOWER,,"Small Trees / Large Shrubs, Evergreen"
"Viguiera deltoidea, syn. Viguiera parishii",GOLDENEYE,,"Small Trees / Large Shrubs, Evergreen"
Viguiera multiflora,MULTIFLOWERED GOLDENEYE,,"Small Trees / Large Shrubs, Evergreen"
Viola adunca,WESTERN DOG VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Viola bakeri,BAKER’S VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Viola beckwithii,GREAT BASIN VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Viola douglasii,DOUGLAS’ VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Viola pedunculata,JOHNNY JUMP UP,,"Small Trees / Large Shrubs, Evergreen"
Viola purpurea,MOUNTAIN VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Viola sempervirens,REDWOOD VIOLET,,"Small Trees / Large Shrubs, Evergreen"
Vitis californica,CALIFORNIA WILD GRAPE,,"Small Trees / Large Shrubs, Evergreen"
Vitis girdiana,DESERT WILD GRAPE,,"Small Trees / Large Shrubs, Evergreen"
Wyethia amplexicaulis,NORTHERN MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia angustifolia,NARROWLEAF MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia glabra,SHINING MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia helenoides,WHITE MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia longicaulis,HUMBOLDT COUNTY WYETHIA,,"Small Trees / Large Shrubs, Evergreen"
Wyethia mollis,WOOLLY MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia ovata,SOUTHERN MULE’S EARS,,"Small Trees / Large Shrubs, Evergreen"
Wyethia species,,,"Small Trees / Large Shrubs, Evergreen"
Xerophyllum tenax,"BEAR GRASS, INDIAN BASKET GRASS",,"Small Trees / Large Shrubs, Evergreen"
Xylococcus bicolor,MISSION MANZANITA,,"Medium Evergreen to Semi-Evergreen Trees; Small Trees / Large Shrubs, Evergreen"
Yucca brevifolia,WESTERN JOSHUA TREE,,"Small Trees / Large Shrubs, Evergreen"
Yucca jaegeriana,EASTERN JOSHUA TREE,,"Small Trees / Large Shrubs, Evergreen"
Yucca schidigera,MOJAVE YUCCA,; all provide great habitat but should not be planted close to structures,"Small Trees / Large Shrubs, Evergreen"
